Pkg count,Package names,Imported name,Imported signature
8,"canvas, couchbase, leveldown, lwip, midi, protagonist, serialport, sqlite3",v8::EscapableHandleScope::~EscapableHandleScope,public: __cdecl v8::EscapableHandleScope::~EscapableHandleScope(void) __ptr64
8,"hiredis, images, kerberos, node-sass, nodegit, ref, sqlite3, zmq",v8::V8::FromJustIsNothing,private: static void __cdecl v8::V8::FromJustIsNothing(void)
8,"canvas, hiredis, kerberos, leveldown, midi, node-sass, nodegit, sqlite3",v8::Value::IsArray,public: bool __cdecl v8::Value::IsArray(void)const __ptr64
8,"bignum, hiredis, libxmljs, midi, mmmagic, node-sass, sqlite3, zmq",v8::Value::IsBoolean,public: bool __cdecl v8::Value::IsBoolean(void)const __ptr64
8,"canvas, couchbase, ffi, iconv, images, leveldown, midi, ref",v8::Value::Uint32Value,public: unsigned int __cdecl v8::Value::Uint32Value(void)const __ptr64
7,"bignum, couchbase, fibers, lame, libxmljs, nodegit, protagonist",v8::Function::Call,"public: class v8::Local<class v8::Value> __cdecl v8::Function::Call(class v8::Local<class v8::Value>,int,class v8::Local<class v8::Value> * __ptr64 const) __ptr64"
7,"couchbase, hiredis, iconv, kerberos, lwip, node-hid, protagonist",v8::Object::Set,"public: bool __cdecl v8::Object::Set(unsigned int,class v8::Local<class v8::Value>) __ptr64"
6,"canvas, ffi, lame, ref, serialport, zmq",node::Buffer::New,"class v8::MaybeLocal<class v8::Object> __cdecl node::Buffer::New(class v8::Isolate * __ptr64,char * __ptr64,unsigned __int64,void (__cdecl*)(char * __ptr64,void * __ptr64),void * __ptr64)"
6,"ffi, kerberos, lame, node-hid, node-sass, protagonist",node::FatalException,"void __cdecl node::FatalException(class v8::Isolate * __ptr64,class v8::TryCatch const & __ptr64)"
6,"couchbase, midi, node-sass, nodegit, sqlite3, zmq",uv_close,uv_close
6,"ffi, leveldown, midi, node-sass, nodegit, serialport",uv_mutex_init,uv_mutex_init
6,"ffi, leveldown, midi, node-sass, nodegit, serialport",uv_mutex_lock,uv_mutex_lock
6,"ffi, leveldown, midi, node-sass, nodegit, serialport",uv_mutex_unlock,uv_mutex_unlock
6,"canvas, deasync, kerberos, leveldown, node-sass, nodegit",v8::Function::NewInstance,"public: class v8::MaybeLocal<class v8::Object> __cdecl v8::Function::NewInstance(class v8::Local<class v8::Context>,int,class v8::Local<class v8::Value> * __ptr64 const)const __ptr64"
6,"hiredis, node-sass, nodegit, serialport, sqlite3, zmq",v8::Object::Get,"public: class v8::MaybeLocal<class v8::Value> __cdecl v8::Object::Get(class v8::Local<class v8::Context>,class v8::Local<class v8::Value>) __ptr64"
6,"canvas, images, kerberos, nodegit, sqlite3, zmq",v8::ObjectTemplate::SetAccessor,"public: void __cdecl v8::ObjectTemplate::SetAccessor(class v8::Local<class v8::Name>,void (__cdecl*)(class v8::Local<class v8::Name>,class v8::PropertyCallbackInfo<class v8::Value> const & __ptr64),void (__cdecl*)(class v8::Local<class v8::Name>,class v8::Local<class v8::Value>,class v8::PropertyCallbackInfo<void> const & __ptr64),class v8::Local<class v8::Value>,enum v8::AccessControl,enum v8::PropertyAttribute,class v8::Local<class v8::AccessorSignature>) __ptr64"
6,"bcrypt, lame, node-sass, nodegit, sqlite3, zmq",v8::Value::Int32Value,public: class v8::Maybe<int> __cdecl v8::Value::Int32Value(class v8::Local<class v8::Context>)const __ptr64
6,"canvas, kerberos, libxmljs, mmmagic, serialport, sqlite3",v8::Value::IsInt32,public: bool __cdecl v8::Value::IsInt32(void)const __ptr64
6,"canvas, couchbase, images, lame, lwip, serialport",v8::Value::NumberValue,public: double __cdecl v8::Value::NumberValue(void)const __ptr64
5,"ffi, midi, node-sass, nodegit, sqlite3",uv_async_init,uv_async_init
5,"ffi, midi, node-sass, nodegit, sqlite3",uv_async_send,uv_async_send
5,"ffi, leveldown, midi, node-sass, nodegit",uv_mutex_destroy,uv_mutex_destroy
5,"canvas, fibers, midi, node-sass, zmq",v8::Exception::RangeError,public: static class v8::Local<class v8::Value> __cdecl v8::Exception::RangeError(class v8::Local<class v8::String>)
5,"bignum, couchbase, fibers, libxmljs, node-hid",v8::Function::NewInstance,"public: class v8::Local<class v8::Object> __cdecl v8::Function::NewInstance(int,class v8::Local<class v8::Value> * __ptr64 const)const __ptr64"
5,"bignum, couchbase, kerberos, leveldown, lwip",v8::Integer::Value,public: __int64 __cdecl v8::Integer::Value(void)const __ptr64
5,"canvas, deasync, fibers, images, libxmljs",v8::Isolate::ReportExternalAllocationLimitReached,private: void __cdecl v8::Isolate::ReportExternalAllocationLimitReached(void) __ptr64
